[2026-07-07 10:11:41] === Run started: fused_cli_fedavg_cifar10_340220 ===
[2026-07-07 10:11:41] Run hyperparameters:
  dataset_root: /export/home/ralhasan/fl-fu-oral3/dataset/cifar10
  num_classes: 10
  num_clients: 50
  alpha: 1.0
  proxy_frac: 0.2
  pretrained: True
  local_batch_size: 128
  test_batch_size: 64
  learning_rate: 0.005
  global_epochs: 100
  local_epochs: 5
  fused_iterations: 100
  relearn_rounds: 100
  forget_paradigm: client
  forget_client_idx: [0]
  lora_r: 16
  lora_alpha: 32
  lora_dropout: 0.1
  run_mia: True
  n_shadow: 5
  mia_attack_epochs: 50
  device: cuda
  seed: 50
  num_workers: 2
  logs_root: logs/cifar10_cli
  checkpoints_root: checkpoints/cifar10_cli
  outputs_root: outputs/cifar10_cli
  algorithm: fedavg
  fedprox_mu: 0.01
  fedmoon_mu: 1.0
  fedmoon_temperature: 0.5
  num_unlearning_layers: 4
  adapter_sparsity: 0.05
  source_run: fused_cifar10_full_327966
  method: FUSED-CLI (Algorithm 1, real paper method)
[2026-07-07 10:11:41] Rebuilding CIFAR-10 federated data (seed=50, matches source run's partition).
[2026-07-07 10:12:09] Applying Byzantine label-shift attack to forget_client_idx=[0]...
[2026-07-07 10:12:12] Loaded Phase-A checkpoint (read-only) from checkpoints/cifar10/fused_cifar10_full_327966/phase_a_model.pt
[2026-07-07 10:12:12] === FUSED-CLI unlearning (algorithm=fedavg) ===
[2026-07-07 10:12:12] Running Critical Layer Identification (one federated round, remember clients only)...
[2026-07-07 10:12:41] Selected 4 critical layers: ['layer4.0.conv1.weight', 'layer3.1.conv1.weight', 'layer3.0.conv2.weight', 'layer3.1.conv2.weight']
[2026-07-07 11:16:29] [FUSED-CLI:fedavg] Round=32, avg_r_acc=0.8366, avg_f_acc=0.4429, adapter_density=147437/2949120
[2026-07-07 11:18:23] [FUSED-CLI:fedavg] Round=33, avg_r_acc=0.8366, avg_f_acc=0.4429, adapter_density=147437/2949120
[2026-07-07 11:20:16] [FUSED-CLI:fedavg] Round=34, avg_r_acc=0.8369, avg_f_acc=0.4429, adapter_density=147437/2949120
[2026-07-07 11:22:09] [FUSED-CLI:fedavg] Round=35, avg_r_acc=0.8366, avg_f_acc=0.4429, adapter_density=147437/2949120
[2026-07-07 11:24:02] [FUSED-CLI:fedavg] Round=36, avg_r_acc=0.8352, avg_f_acc=0.4429, adapter_density=147437/2949120
[2026-07-07 11:25:55] [FUSED-CLI:fedavg] Round=37, avg_r_acc=0.8353, avg_f_acc=0.4429, adapter_density=147437/2949120
[2026-07-07 11:27:48] [FUSED-CLI:fedavg] Round=38, avg_r_acc=0.8348, avg_f_acc=0.4429, adapter_density=147437/2949120
[2026-07-07 11:29:41] [FUSED-CLI:fedavg] Round=39, avg_r_acc=0.8350, avg_f_acc=0.4429, adapter_density=147437/2949120
[2026-07-07 11:31:34] [FUSED-CLI:fedavg] Round=40, avg_r_acc=0.8355, avg_f_acc=0.4407, adapter_density=147437/2949120
[2026-07-07 11:33:27] [FUSED-CLI:fedavg] Round=41, avg_r_acc=0.8363, avg_f_acc=0.4304, adapter_density=147437/2949120
[2026-07-07 11:35:19] [FUSED-CLI:fedavg] Round=42, avg_r_acc=0.8362, avg_f_acc=0.4263, adapter_density=147437/2949120
[2026-07-07 11:37:14] [FUSED-CLI:fedavg] Round=43, avg_r_acc=0.8359, avg_f_acc=0.4245, adapter_density=147437/2949120
[2026-07-07 11:39:07] [FUSED-CLI:fedavg] Round=44, avg_r_acc=0.8360, avg_f_acc=0.4245, adapter_density=147437/2949120
[2026-07-07 11:41:01] [FUSED-CLI:fedavg] Round=45, avg_r_acc=0.8355, avg_f_acc=0.4245, adapter_density=147437/2949120
[2026-07-07 11:42:54] [FUSED-CLI:fedavg] Round=46, avg_r_acc=0.8362, avg_f_acc=0.4222, adapter_density=147437/2949120
[2026-07-07 11:44:48] [FUSED-CLI:fedavg] Round=47, avg_r_acc=0.8361, avg_f_acc=0.4196, adapter_density=147437/2949120
[2026-07-07 11:46:42] [FUSED-CLI:fedavg] Round=48, avg_r_acc=0.8360, avg_f_acc=0.4196, adapter_density=147437/2949120
[2026-07-07 11:48:36] [FUSED-CLI:fedavg] Round=49, avg_r_acc=0.8357, avg_f_acc=0.4196, adapter_density=147437/2949120
[2026-07-07 11:50:30] [FUSED-CLI:fedavg] Round=50, avg_r_acc=0.8357, avg_f_acc=0.4196, adapter_density=147437/2949120
[2026-07-07 11:52:24] [FUSED-CLI:fedavg] Round=51, avg_r_acc=0.8360, avg_f_acc=0.4196, adapter_density=147437/2949120
[2026-07-07 11:54:18] [FUSED-CLI:fedavg] Round=52, avg_r_acc=0.8351, avg_f_acc=0.4196, adapter_density=147437/2949120
[2026-07-07 11:56:12] [FUSED-CLI:fedavg] Round=53, avg_r_acc=0.8357, avg_f_acc=0.4163, adapter_density=147437/2949120
[2026-07-07 11:58:07] [FUSED-CLI:fedavg] Round=54, avg_r_acc=0.8355, avg_f_acc=0.4163, adapter_density=147437/2949120
[2026-07-07 12:00:01] [FUSED-CLI:fedavg] Round=55, avg_r_acc=0.8359, avg_f_acc=0.4163, adapter_density=147437/2949120
[2026-07-07 12:01:55] [FUSED-CLI:fedavg] Round=56, avg_r_acc=0.8358, avg_f_acc=0.4163, adapter_density=147437/2949120
[2026-07-07 12:03:49] [FUSED-CLI:fedavg] Round=57, avg_r_acc=0.8363, avg_f_acc=0.4163, adapter_density=147437/2949120
[2026-07-07 12:05:44] [FUSED-CLI:fedavg] Round=58, avg_r_acc=0.8359, avg_f_acc=0.4163, adapter_density=147437/2949120
[2026-07-07 12:07:38] [FUSED-CLI:fedavg] Round=59, avg_r_acc=0.8357, avg_f_acc=0.4141, adapter_density=147437/2949120
[2026-07-07 12:09:33] [FUSED-CLI:fedavg] Round=60, avg_r_acc=0.8356, avg_f_acc=0.4141, adapter_density=147437/2949120
[2026-07-07 12:11:27] [FUSED-CLI:fedavg] Round=61, avg_r_acc=0.8370, avg_f_acc=0.4141, adapter_density=147437/2949120
[2026-07-07 12:13:21] [FUSED-CLI:fedavg] Round=62, avg_r_acc=0.8365, avg_f_acc=0.4141, adapter_density=147437/2949120
[2026-07-07 12:15:15] [FUSED-CLI:fedavg] Round=63, avg_r_acc=0.8364, avg_f_acc=0.4141, adapter_density=147437/2949120
[2026-07-07 12:17:08] [FUSED-CLI:fedavg] Round=64, avg_r_acc=0.8370, avg_f_acc=0.4141, adapter_density=147437/2949120
[2026-07-07 12:19:02] [FUSED-CLI:fedavg] Round=65, avg_r_acc=0.8370, avg_f_acc=0.4141, adapter_density=147437/2949120
[2026-07-07 12:20:56] [FUSED-CLI:fedavg] Round=66, avg_r_acc=0.8372, avg_f_acc=0.4141, adapter_density=147437/2949120
[2026-07-07 12:22:49] [FUSED-CLI:fedavg] Round=67, avg_r_acc=0.8371, avg_f_acc=0.4141, adapter_density=147437/2949120
[2026-07-07 12:24:43] [FUSED-CLI:fedavg] Round=68, avg_r_acc=0.8375, avg_f_acc=0.4141, adapter_density=147437/2949120
[2026-07-07 12:26:36] [FUSED-CLI:fedavg] Round=69, avg_r_acc=0.8376, avg_f_acc=0.4141, adapter_density=147437/2949120
[2026-07-07 12:28:30] [FUSED-CLI:fedavg] Round=70, avg_r_acc=0.8373, avg_f_acc=0.4141, adapter_density=147437/2949120
[2026-07-07 12:30:24] [FUSED-CLI:fedavg] Round=71, avg_r_acc=0.8371, avg_f_acc=0.4141, adapter_density=147437/2949120
[2026-07-07 12:32:18] [FUSED-CLI:fedavg] Round=72, avg_r_acc=0.8371, avg_f_acc=0.4114, adapter_density=147437/2949120
[2026-07-07 12:34:11] [FUSED-CLI:fedavg] Round=73, avg_r_acc=0.8368, avg_f_acc=0.4114, adapter_density=147437/2949120
[2026-07-07 12:36:05] [FUSED-CLI:fedavg] Round=74, avg_r_acc=0.8371, avg_f_acc=0.4114, adapter_density=147437/2949120
[2026-07-07 12:37:59] [FUSED-CLI:fedavg] Round=75, avg_r_acc=0.8364, avg_f_acc=0.4114, adapter_density=147437/2949120
[2026-07-07 12:39:53] [FUSED-CLI:fedavg] Round=76, avg_r_acc=0.8372, avg_f_acc=0.4114, adapter_density=147437/2949120
[2026-07-07 12:41:47] [FUSED-CLI:fedavg] Round=77, avg_r_acc=0.8360, avg_f_acc=0.4097, adapter_density=147437/2949120
[2026-07-07 12:43:41] [FUSED-CLI:fedavg] Round=78, avg_r_acc=0.8362, avg_f_acc=0.4097, adapter_density=147437/2949120
[2026-07-07 12:45:35] [FUSED-CLI:fedavg] Round=79, avg_r_acc=0.8357, avg_f_acc=0.4073, adapter_density=147437/2949120
[2026-07-07 12:47:28] [FUSED-CLI:fedavg] Round=80, avg_r_acc=0.8361, avg_f_acc=0.4056, adapter_density=147437/2949120
[2026-07-07 12:49:22] [FUSED-CLI:fedavg] Round=81, avg_r_acc=0.8359, avg_f_acc=0.4073, adapter_density=147437/2949120
[2026-07-07 12:51:16] [FUSED-CLI:fedavg] Round=82, avg_r_acc=0.8368, avg_f_acc=0.4020, adapter_density=147437/2949120
[2026-07-07 12:53:10] [FUSED-CLI:fedavg] Round=83, avg_r_acc=0.8364, avg_f_acc=0.4038, adapter_density=147437/2949120
[2026-07-07 12:55:05] [FUSED-CLI:fedavg] Round=84, avg_r_acc=0.8361, avg_f_acc=0.4056, adapter_density=147437/2949120
[2026-07-07 12:56:59] [FUSED-CLI:fedavg] Round=85, avg_r_acc=0.8362, avg_f_acc=0.3988, adapter_density=147437/2949120
[2026-07-07 12:58:52] [FUSED-CLI:fedavg] Round=86, avg_r_acc=0.8361, avg_f_acc=0.3988, adapter_density=147437/2949120
[2026-07-07 13:00:47] [FUSED-CLI:fedavg] Round=87, avg_r_acc=0.8361, avg_f_acc=0.3988, adapter_density=147437/2949120
[2026-07-07 13:02:40] [FUSED-CLI:fedavg] Round=88, avg_r_acc=0.8345, avg_f_acc=0.3988, adapter_density=147437/2949120
[2026-07-07 13:04:34] [FUSED-CLI:fedavg] Round=89, avg_r_acc=0.8342, avg_f_acc=0.3988, adapter_density=147437/2949120
[2026-07-07 13:06:28] [FUSED-CLI:fedavg] Round=90, avg_r_acc=0.8344, avg_f_acc=0.3988, adapter_density=147437/2949120
[2026-07-07 13:08:22] [FUSED-CLI:fedavg] Round=91, avg_r_acc=0.8345, avg_f_acc=0.3961, adapter_density=147437/2949120
[2026-07-07 13:10:16] [FUSED-CLI:fedavg] Round=92, avg_r_acc=0.8333, avg_f_acc=0.3961, adapter_density=147437/2949120
