setting,fraction_pct,train_samples,run_id,overall_acc,macro_f1,weighted_f1,spain_acc,canada_acc,india_acc,metrics_path
fedbn_stdce,20,506,lc_s123_fedbn_stdce_p20_seed123_job386742,0.7221350078492935,0.6556180960138315,0.7125069883351546,0.7358490566037735,0.7669172932330827,0.5757575757575758,logs/fl/lc_s123_fedbn_stdce_p20_seed123_job386742/metrics.json
fedbn_stdce,40,1014,lc_s123_fedbn_stdce_p40_seed123_job386742,0.6232339089481946,0.6008130480852326,0.6329709799107525,0.6698113207547169,0.6466165413533834,0.5151515151515151,logs/fl/lc_s123_fedbn_stdce_p40_seed123_job386742/metrics.json
fedbn_stdce,60,1524,lc_s123_fedbn_stdce_p60_seed123_job386742,0.7849293563579278,0.7551705486344682,0.7869637727872459,0.7169811320754716,0.8170426065162907,0.7424242424242424,logs/fl/lc_s123_fedbn_stdce_p60_seed123_job386742/metrics.json
fedbn_stdce,80,2032,lc_s123_fedbn_stdce_p80_seed123_job386742,0.8069073783359497,0.7591927294673492,0.8036944812107142,0.7924528301886793,0.8446115288220551,0.7045454545454546,logs/fl/lc_s123_fedbn_stdce_p80_seed123_job386742/metrics.json
fedbn_stdce,100,2538,lc_s123_fedbn_stdce_p100_seed123_job386742,0.8383045525902669,0.7940977653831306,0.8360828288935616,0.8867924528301887,0.8822055137844611,0.6666666666666666,logs/fl/lc_s123_fedbn_stdce_p100_seed123_job386742/metrics.json
