setting,fraction_pct,train_samples,run_id,overall_acc,macro_f1,weighted_f1,spain_acc,canada_acc,india_acc,metrics_path
fedbn_stdce,20,506,lcfix_s42_fedbn_stdce_p20_seed42_job388714,0.6514913657770801,0.608296758181028,0.653338262818968,0.6320754716981132,0.6641604010025063,0.6287878787878788,logs/fl/lcfix_s42_fedbn_stdce_p20_seed42_job388714/metrics.json
fedbn_stdce,40,1014,lcfix_s42_fedbn_stdce_p40_seed42_job388714,0.7739403453689168,0.7279223859745457,0.7687258219041039,0.7641509433962265,0.7869674185463659,0.7424242424242424,logs/fl/lcfix_s42_fedbn_stdce_p40_seed42_job388714/metrics.json
fedbn_stdce,60,1524,lcfix_s42_fedbn_stdce_p60_seed42_job388714,0.7472527472527473,0.6771338445830982,0.737305846996813,0.6415094339622641,0.849624060150376,0.5227272727272727,logs/fl/lcfix_s42_fedbn_stdce_p60_seed42_job388714/metrics.json
fedbn_stdce,80,2032,lcfix_s42_fedbn_stdce_p80_seed42_job388714,0.8131868131868132,0.7783411990308542,0.8111150582757793,0.6698113207547169,0.8571428571428571,0.7954545454545454,logs/fl/lcfix_s42_fedbn_stdce_p80_seed42_job388714/metrics.json
fedbn_stdce,100,2538,lcfix_s42_fedbn_stdce_p100_seed42_job388714,0.8508634222919937,0.8166747752931064,0.8476867416987294,0.8301886792452831,0.87468671679198,0.7954545454545454,logs/fl/lcfix_s42_fedbn_stdce_p100_seed42_job388714/metrics.json
